Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:48 869,0.03,50,1709000,2362000,14,17913,-1670,330,4.206614,-7.03,4.55,6.82,3.41,4.55,19.32,7.95,9.09,7.95,4.55,29.55
15:28:48 989,0.03,50,1709000,2362000,13,17913,-1496,330,4.217131,-6.31,5.68,3.41,4.55,6.82,20.45,6.82,9.09,6.82,7.95,30.68
15:28:49 102,0.03,48.91,1844000,2362000,14,17913,-1557,330,4.213105,-6.56,4.35,4.35,3.26,2.17,14.13,8.7,8.7,9.78,8.7,35.87
15:28:49 223,0.03,44.68,1709000,2362000,14,17913,-1536,330,4.214355,-6.47,5.32,5.32,5.32,6.38,22.34,3.19,3.19,10.64,3.19,20.21
15:28:49 342,0.03,20.88,1844000,2362000,19,17913,-1139,330,4.237934,-4.83,3.3,5.49,5.49,4.4,18.68,1.1,0,1.1,0,2.2
15:28:49 466,0.03,18,999000,2362000,7,17913,-639,330,4.269833,-2.73,4,6,4,4,18,0,0,0,0,0
15:28:49 584,0.03,21.28,1709000,903000,13,11942,-576,330,4.275568,-2.46,1.06,6.38,5.32,8.51,21.28,0,0,0,0,0
15:28:49 715,0.03,29.41,1402000,2362000,13,6576,-504,330,4.27912,-2.16,4.9,6.86,6.86,6.86,25.49,0,0,4.9,0,4.9
15:28:49 835,0.03,48.91,1844000,2362000,17,17913,-662,330,4.269982,-2.83,10.87,8.7,7.61,9.78,36.96,0,2.17,1.09,8.7,11.96
15:28:49 954,0.03,47.31,1844000,2362000,7,17913,-1194,330,4.237568,-5.06,3.23,5.38,4.3,4.3,17.2,5.38,6.45,5.38,12.9,30.11
15:28:50 069,0.03,54.64,1844000,2362000,9,17913,-1453,330,4.220728,-6.13,7.22,3.09,3.09,5.15,18.56,9.28,7.22,8.25,9.28,34.02
15:28:50 185,0.03,56.25,1844000,2362000,14,17913,-1875,330,4.194209,-7.86,4.17,3.12,7.29,5.21,19.79,9.38,9.38,7.29,9.38,35.42
15:28:50 320,0.03,51.14,999000,2362000,14,17913,-1607,330,4.21014,-6.77,1.14,4.55,2.27,5.68,13.64,9.09,7.95,10.23,11.36,38.64
15:28:50 435,0.03,60,1709000,2362000,10,17913,-1593,330,4.210674,-6.71,6.67,7.62,5.71,6.67,26.67,7.62,9.52,9.52,7.62,34.29
15:28:50 551,0.03,51.06,1402000,2362000,2,17913,-1538,330,4.214183,-6.48,3.19,3.19,2.13,5.32,13.83,9.57,8.51,9.57,9.57,37.23
15:28:50 677,0.03,47.92,1402000,2362000,10,17913,-1545,330,4.213691,-6.51,7.29,6.25,6.25,6.25,26.04,4.17,4.17,10.42,3.12,21.88
15:28:50 791,0.03,33.33,1844000,2362000,12,17913,-1147,330,4.257418,-4.88,5.05,6.06,7.07,6.06,24.24,0,0,5.05,0,5.05
15:28:50 910,0.03,18.68,999000,2362000,6,17913,-563,330,4.274368,-2.41,4.4,6.59,5.49,3.3,19.78,0,0,0,0,0
15:28:51 049,0.03,20.83,1402000,903000,7,10243,-489,330,4.279628,-2.09,5.21,5.21,6.25,4.17,20.83,0,0,0,0,0
15:28:51 175,0.03,31.48,1844000,2362000,23,10243,-413,330,4.284611,-1.77,9.26,4.63,6.48,6.48,26.85,0,1.85,4.63,0.93,7.41
15:28:51 301,0.03,44.23,1844000,2362000,8,17913,-609,330,4.273319,-2.6,7.69,9.62,9.62,7.69,34.62,0,0,7.69,0,7.69
15:28:51 414,0.03,50,1844000,2362000,14,17913,-802,330,4.26105,-3.42,3.19,8.51,6.38,7.45,25.53,3.19,3.19,12.77,5.32,24.47
15:28:51 548,0.03,50,1709000,2362000,11,17913,-1376,330,4.225686,-5.81,3.92,2.94,2.94,6.86,16.67,8.82,7.84,9.8,6.86,33.33
15:28:51 663,0.03,55.91,1844000,2362000,8,17913,-1588,330,4.211891,-6.69,4.3,5.38,5.38,7.53,22.58,8.6,6.45,7.53,9.68,32.26
15:28:51 783,0.03,52.22,1844000,2362000,10,17913,-1676,330,4.205648,-7.05,5.56,2.22,4.44,4.44,16.67,8.89,10,8.89,8.89,36.67
15:28:51 913,0.03,50.48,1844000,2362000,7,17913,-1600,330,4.209733,-6.74,2.86,6.67,5.71,2.86,18.1,6.67,9.52,8.57,9.52,34.29
15:28:52 026,0.03,45.88,1709000,2362000,8,17913,-1535,330,4.213656,-6.47,3.53,1.18,5.88,4.71,15.29,10.59,5.88,7.06,5.88,29.41
15:28:52 156,0.03,43.33,1402000,2362000,19,17913,-1470,330,4.217578,-6.2,4.44,5.56,6.67,5.56,22.22,5.56,3.33,5.56,8.89,23.33
15:28:52 271,0.03,33,1844000,2362000,7,17913,-1064,330,4.242269,-4.51,8,7,5,7,27,0,0,0,6,6
15:28:52 386,0.03,15.73,1402000,903000,14,11942,-640,330,4.268737,-2.73,5.62,3.37,4.49,2.25,15.73,0,0,0,0,0
15:28:52 528,0.03,22.02,1709000,903000,12,6576,-499,330,4.278092,-2.13,4.59,3.67,9.17,4.59,22.02,0,0,0,0,0
